29371,243,3
P-1,U6,183,203,75,236,258,174
P-2,U4,173,216,0,229,297,99
P-3,U3,41,144,176,83,245,227
P-4,U6,102,203,0,210,259,75
P-5,U6,0,259,165,64,317,253
P-6,U3,0,0,54,91,84,110
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-9,U5,0,241,97,88,314,168
P-10,U5,0,181,206,88,266,276
P-11,U6,102,203,75,183,258,155
P-12,U6,104,0,196,184,48,284
P-13,NONE,-1,-1,-1,-1,-1,-1
P-14,U1,175,205,0,220,286,46
P-15,U3,179,177,175,228,261,235
P-16,U3,0,96,176,93,144,239
P-17,U3,158,215,109,241,272,172
P-18,NONE,-1,-1,-1,-1,-1,-1
P-19,NONE,-1,-1,-1,-1,-1,-1
P-20,U5,0,185,97,88,241,203
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-23,U5,88,158,193,198,208,244
P-24,NONE,-1,-1,-1,-1,-1,-1
P-25,U1,175,66,75,219,119,152
P-26,NONE,-1,-1,-1,-1,-1,-1
P-27,U2,121,122,78,214,184,127
P-28,U2,0,185,0,81,249,95
P-29,U2,154,60,72,207,122,158
P-30,NONE,-1,-1,-1,-1,-1,-1
P-31,U6,0,98,0,76,147,71
P-32,U1,86,152,0,130,222,98
P-33,NONE,-1,-1,-1,-1,-1,-1
P-34,NONE,-1,-1,-1,-1,-1,-1
P-35,U2,65,122,0,148,185,72
P-36,U4,95,216,0,173,296,86
P-37,U2,147,0,102,223,59,153
P-38,NONE,-1,-1,-1,-1,-1,-1
P-39,U2,75,249,0,171,313,61
P-40,U1,130,195,0,175,285,70
P-41,U4,97,0,103,187,68,207
P-42,U3,0,177,174,41,286,236
P-43,NONE,-1,-1,-1,-1,-1,-1
P-44,U5,198,189,99,238,238,183
P-45,U5,0,90,206,81,181,278
P-46,U3,0,91,114,94,162,176
P-47,NONE,-1,-1,-1,-1,-1,-1
P-48,U6,184,0,196,237,48,261
P-49,U4,0,68,199,100,137,239
P-50,U3,98,0,177,202,73,241
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-53,U1,86,0,104,130,106,157
P-54,U6,182,259,0,233,318,106
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-57,U6,64,259,165,128,318,248
P-58,U6,0,203,0,102,258,95
P-59,U6,0,48,89,85,97,168
P-60,NONE,-1,-1,-1,-1,-1,-1
P-61,NONE,-1,-1,-1,-1,-1,-1
P-62,NONE,-1,-1,-1,-1,-1,-1
P-63,U2,0,249,0,75,318,85
P-64,NONE,-1,-1,-1,-1,-1,-1
P-65,U6,102,48,0,212,98,78
P-66,U6,86,98,171,133,148,257
P-67,NONE,-1,-1,-1,-1,-1,-1
P-68,U4,0,216,192,92,297,238
P-69,U3,41,261,171,125,308,225
P-70,NONE,-1,-1,-1,-1,-1,-1
P-71,U3,196,0,54,239,99,114
P-72,NONE,-1,-1,-1,-1,-1,-1
P-73,U3,109,0,114,213,86,177
P-74,NONE,-1,-1,-1,-1,-1,-1
P-75,U1,43,206,0,86,291,74
P-76,U5,198,87,107,238,179,203
P-77,U6,135,48,152,231,98,217
P-78,U1,43,0,0,85,74,104
P-79,NONE,-1,-1,-1,-1,-1,-1
P-80,U1,175,205,46,219,290,89
P-81,NONE,-1,-1,-1,-1,-1,-1
P-82,U4,0,68,101,71,134,198
P-83,NONE,-1,-1,-1,-1,-1,-1
P-84,NONE,-1,-1,-1,-1,-1,-1
P-85,U1,175,254,89,219,301,157
P-86,U3,203,86,114,244,151,177
P-87,U6,0,149,229,107,203,282
P-88,NONE,-1,-1,-1,-1,-1,-1
P-89,NONE,-1,-1,-1,-1,-1,-1
P-90,NONE,-1,-1,-1,-1,-1,-1
P-91,NONE,-1,-1,-1,-1,-1,-1
P-92,U2,0,0,96,58,58,161
P-93,NONE,-1,-1,-1,-1,-1,-1
P-94,U4,71,68,101,138,134,199
P-95,NONE,-1,-1,-1,-1,-1,-1
P-96,NONE,-1,-1,-1,-1,-1,-1
P-97,U6,150,149,201,243,202,254
P-98,NONE,-1,-1,-1,-1,-1,-1
P-99,NONE,-1,-1,-1,-1,-1,-1
P-100,NONE,-1,-1,-1,-1,-1,-1
P-101,NONE,-1,-1,-1,-1,-1,-1
P-102,U2,81,185,0,187,249,70
P-103,U5,88,259,0,190,303,78
P-104,NONE,-1,-1,-1,-1,-1,-1
P-105,U4,0,216,0,95,296,103
P-106,U3,0,105,0,92,195,54
P-107,NONE,-1,-1,-1,-1,-1,-1
P-108,NONE,-1,-1,-1,-1,-1,-1
P-109,U4,180,137,71,224,216,169
P-110,NONE,-1,-1,-1,-1,-1,-1
P-111,NONE,-1,-1,-1,-1,-1,-1
P-112,U3,0,236,108,67,315,171
P-113,NONE,-1,-1,-1,-1,-1,-1
P-114,NONE,-1,-1,-1,-1,-1,-1
